Pitanje,1,2,3,4,5
Šta od navedenog je tačno u vezi sa Android operativnim sistemom?,*Android je mobilni operativni sistem sa otvorenim kodom zasnovan na Linux OS,Android operativni sistem potpisuje kompanija Microsoft,Android 2.0 je poslednja verzija OS Android,*Android podržava multi-tasking,Android zahteva tačno određenu hardversko-softversku konfiguraciju za funkcionisanje.
Da li je Android operativni sistem sa višeslojnom arhitekturom?,Da; izgrađen je na istom jezgru kao IOS operativni sistem,Ne; ali deli neke sličnosti sa Windows Mobile operativnim sistemom,*Da i čine ga Linux jezgro biblioteke; run-time; radni okvir aplikacija i aplikacije,Ne; bazira se isključivo na Linux operativnom sistemu,*Da i osnova mu je Linux jezgro koje sadrži drajvere za svaku hardversku komponentu.
Koji su uslovi neophodni za funkcionisanje Android SDK?,Pokrenut AVD emulator,*Instalirani JAVA SE JDK i Android SDK,Instaliran i pokrenut Eclipse IDE,Instaliran Android SDK bez JAVA JDK-a,Instaliran alat Android Studio.
Šta je od navedenog tačno u vezi sa ADT?,*ADT omogućava kreiranje Android aplikacija i upravljanje greškama u Eclipse IDE,ADT ne dozvoljava kreiranje digitalnih sertifikata za APK pakete,*ADT omogućava izvoz Android aplikacija u APK pakete,ADT onemogućava alate koji koriste AVD,*Instalacija ADT zahteva prihvatanje uslova licenciranja.
Kojom datotekom je definisan korisnički interfejs Android aplikacije?,R.java,AndroidManifest.xml,string.xml,nazivAplikacije.apk,*activity_main.xml
Koju klasu nasleđuje klasa koja implementira aktivnosti?,*Activity,Activity_main,AndroidManifest,R.java,LogCat
U koju vrstu datoteka se dodaju aktivnosti?,*Java klase aktivnosti,AndroidManifest,Main.xml,R.java,Za aktivnosti se kreiraju posebne datoteke.
Kako se Android aplikacija bori sa sudaranjem filtera namere?,Slanjem poruke korisniku da nije moguće izvršiti traženu akciju,Prikazuje grešku u izvršavanju programa,*Prikazuje selektor aktivnosti,Ne prikazuje ništa; dolazi do otkazivanja programa,Izvršava naizmenično aktivnosti.
Šta je od navedenog tačno u vezi sa fragmentima?,*Svaki fragment ima vlastiti izgled; ponašanje i životni ciklus,Fragmenti se kreiraju kroz nasleđivanje klase Activity,*Moguće je kombinovati više fragmenata u jednu aktivnost,*Fragmente je moguće dodavati i brisati iz aktivnosti dok je ona aktivna,Fragmenti se dodaju u aktivnost uvođenjem taga <Fragment …. /> u AndroidManifest.
U kojem folderu se nalaze datoteke u kojima su definisani Intent objekti za omogućavanje upotrebe ugrađenih aplikacija?,layout,res/layout,bin,assets,*src
Android OS podržava sledeće grupe pogleda?,*LinearLayout,VerticalLayout,*AbsoluteLayout,HorizontalLayout,*TableLayout
Android uređaji podržavaju sledeće orijentacije ekrana?,Horizontal,*Portrait,*Landscape,Vertical,Top-bottom
Tehnike za rukovanje orijentacijom ekrana su?,*Anchoring,Layout,Landscape,Portrait,*Resizing i repositioning
Šta promena orijentacije ekrana izaziva?,Pauziranje trenutne aktivnosti,Nastavak trenutne aktivnosti,Čuvanje podataka o stanju trenutne aktivnosti,*Prekid trenutne aktivnosti,*Ponovno pozivanje onCreate() metode
Kako je moguće dodati nove stavke u ActionBar?,Sa desne strane ActionBara ispod ikone aktivnosti,Sa desne strane ActionBara odmah iza ikone aktivnosti,*Sa leve strane ActionBara kao jednu stavku,*Sa leve strane ActionBara kao niz stavki dok ima prostora a zatim u formi menija,Kao poseban ActionBar
Šta spada u osnovne poglede Android korisničkog interfejsa?,Spinner,*TextView,Fragment,*ImageButton,*Button
U aplikaciji za elektronsko testiranje studenata izbor jedinstvenog tačnog odgovora bi bio realizovan pogledima?,TextBox i EditText,*RadioButton i RadioGroup,ImageButton,Samo CheckBox,Button i CheckBox
Koje metode koristi DatePicker za prikazivanje podataka o datumu?,*getDayOfMonth(),*getMonth(),getMonthOfYear(),getNextMonth(),*getYear()
Primenom kojih pogleda je u Android operativnom sistemu realizovana podrška prikazivanju dugih listi?,*ListView,*SpinnerView,RadioGroup,DialogFragment,PreferenceFragment
Koji tip fragmenta bi ste koristili prilikom kreiranja aplikacije čije izvršavanje je potrebno pauzirati usled čekanja na odgovor korisnika?,*DialogFragment,SpinnerView,ListView,PreferenceFragment,ListFragment
Kojim pogledima je omogućeno prikazivanje slika u aktivnosti?,*Gallery,*ImageView,WebView,Spinner,*ImageSwitcher
Koji pogled omogućava prikazivanje slika u matričnoj formi sa skrol opcijom?,ListView,*GridView,Spinner,LinearLayout,AbsoluteLayout
Koji pogledi omogućavaju prikazivanje trenutnog vremena na ekranu?,*DigitalClock u formi digitalnog časovnika,GridView,WebView,RelativeLayout,*AnalogClock u formi analognog časovnika sa kazaljkama
Koje pomoćne metode prvo kreira programer prilikom kreiranja aplikacije za rad sa menijima?,onCreate(),*CreateMenu(),*MenuChoice(),onMenuItemSelected(),setQwertyMode()
Koje dodatne poglede podržava Android SDK koji daju korisničkom interfejsu jedan lepši i bogatiji izgled?,*AnalogClock,LinearLayout(),TableLayout(),*DigitalClock,*WebView
Koji način čuvanja podataka ćete koristiti za čuvanje podataka poput jednostavnih podešavanja mobilnog uređaja?,*Deljene preferencije,Relacione baze podataka,Datoteke,Datoteke i baze podataka,Nijedan od navedenih
Na koji način primenom Android aplikacije biste sačuvali tekst vaše omiljene pesme?,U tabeli baze podataka,*U tekstualnoj datoteci,Pomoću para (naziv vrednost) i objekta SharedPreferences,Koristeći povezane tabele baza podataka,Neki drugi način
Šta je neophodno uraditi da bi bilo moguće čuvanje datoteka na SD kartici mobilnog uređaja?,*Koristiti metodu getExternalStorageDirectory(),Kreirati odgovarajuću privilegiju u main.xml datoteci,*Kreirati odgovarajuću privilegiju u AndroidManifest.xml datoteci,Pre svakog snimanja formatirati SD karticu,Ništa od navedenog SD kartica je podrazumevano skladište za snimanje datoteka
Kako se čuvaju struktuirani podaci u Android aplikacijama?,Primenom datoteka,Primenom objekta SharedPreferences,*Primenom baza podataka,Korišćenjem para (naziv vrednost),Bilo koji samo da je na eksternoj memoriji
Primenom SQLite sistema za upravljanje bazom podataka omogućene su CRUD operacije na bazom podataka. Koje su to operacije?,*Kreiranje baze tabela i sadržaja,Deljenje baze između dve Android aplikacije,*Ažuriranje baze podataka,*Učitavanje sadržaja iz baze podataka,*Brisanje sadržaja i baze podataka
Koji standardni provajderi sadržaja su ponuđeni Android operativnim sistemom?,*Browser,Amazon,*Contacts,*MediaStore,Books
Sa kojim elementima upit nad provajderom sadržaja koristi formu URI identifikatora?,*Standardni_prefiks content://,Naziv aplikacije koja poziva provajdera sadržaja,*Vlasnik - naziv provajdera sadržaja,*Putanja,*id
Kako se obraća provajderu sadržaja?,*URI identifikatorom upita,Povezivanjem posebnog interfejsa sa metodama za obraćanje provajderu,*Ugrađenim konstantama stringa upita za specificiranje URI identifikatora,SQLite upitom,Metodom update()
Šta je od navedenog tačno?,*Klasa provajdera sadržaja je naslednica klase ContentProvider,Klasa provajdera sadržaja je naslednica klase UriMatcher,Klasa provajdera sadržaja je naslednica klase DataBaseHelper,Klasa provajdera sadržaja je naslednica klase Activity,Klasa provajdera sadržaja je super klasa
Šta je od navedenog tačno?,*Provajdera sadržaja je neophodno uključiti AndroidManifest.xml datotekom,Provajdera sadržaja je neophodno uključiti main.xml datotekom,Provajdera sadržaja je neophodno uključiti posebnom metodom klase aktivnosti,*Contacts provajders zahteva posebu dozvolu za primenu,Ugrađene provajderi koriste se slobodno bez kreiranja posebnih dozvola
Koje privilegije se dodaju u AndroidManifest datoteku za podršku slanja/prijema SMS poruka?,*android.permission.SEND_SMS,.SMSReceiver,*android.permission.RECEIVE_SMS,android.provider.Telephony.SMS_RECEIVED,.SMSActivity
